Feature,Coefficient,Class
Mother's occupation_193,-0.17506132831032312,Enrolled
Mother's occupation_194,0.1666997313339761,Enrolled
Father's occupation_0,-0.8032641816295637,Enrolled
Father's occupation_1,-0.3428160180608006,Enrolled
Father's occupation_2,0.14052532520969865,Enrolled
Father's occupation_3,-0.4359200496870509,Enrolled
Father's occupation_4,-0.23390838867098018,Enrolled
Father's occupation_5,0.017964522476966872,Enrolled
Father's occupation_6,-0.030429730174742868,Enrolled
Father's occupation_7,-0.10715167480880014,Enrolled
Father's occupation_8,-0.13721350872558438,Enrolled
Father's occupation_9,-0.2801486361980323,Enrolled
Father's occupation_10,-0.02833832481084767,Enrolled
Father's occupation_90,-1.0100461260331366,Enrolled
Father's occupation_99,0.2651079600727043,Enrolled
Father's occupation_101,-0.08688688496362615,Enrolled
Father's occupation_102,0.25450915075810454,Enrolled
Father's occupation_103,-0.3462090885137662,Enrolled
Father's occupation_112,0.3559887501815102,Enrolled
Father's occupation_122,0.43203262303464746,Enrolled
Father's occupation_123,0.3696890897868355,Enrolled
Father's occupation_131,-0.32236268097199716,Enrolled
Father's occupation_134,0.37048963828533304,Enrolled
Father's occupation_135,0.26042202529918046,Enrolled
Father's occupation_141,-0.060772079981931515,Enrolled
Father's occupation_143,-0.10121793580844039,Enrolled
Father's occupation_144,0.3404479888926149,Enrolled
Father's occupation_151,-0.28841094079418717,Enrolled
Father's occupation_152,0.30182202438471867,Enrolled
Father's occupation_153,-0.06053475951607048,Enrolled
Father's occupation_154,-0.4607484619360037,Enrolled
Father's occupation_161,0.40864602097741964,Enrolled
Father's occupation_163,0.4818375132000407,Enrolled
Father's occupation_171,0.27927207348631167,Enrolled
Father's occupation_172,0.022389004407198987,Enrolled
Father's occupation_175,0.18865725413400133,Enrolled
Father's occupation_181,0.24318887923321153,Enrolled
Father's occupation_182,0.0880723236523111,Enrolled
Father's occupation_183,0.4612673990554186,Enrolled
Father's occupation_192,-0.23877730139299533,Enrolled
Father's occupation_193,0.39076277597930004,Enrolled
Father's occupation_194,-0.28517614422128573,Enrolled
Father's occupation_195,-0.1469995990579416,Enrolled
Application order,-0.13440408027129203,Enrolled
Previous qualification (grade),-0.04237357338610085,Enrolled
Admission grade,-0.04438382814958189,Enrolled
Age at enrollment,-0.048960595399102545,Enrolled
Curricular units 1st sem (credited),-0.24455594884586512,Enrolled
Curricular units 1st sem (enrolled),0.15440049869821115,Enrolled
Curricular units 1st sem (evaluations),0.38453361024744126,Enrolled
Curricular units 1st sem (approved),-0.34769527693133523,Enrolled
Curricular units 1st sem (grade),-0.16355377772392263,Enrolled
Curricular units 1st sem (without evaluations),0.006304242565000915,Enrolled
Unemployment rate,-0.193994138543706,Enrolled
Inflation rate,0.021139026619922827,Enrolled
GDP,-0.036522971582587875,Enrolled
Daytime/evening attendance,-0.03576775296526636,Enrolled
Displaced,-0.07952653453490158,Enrolled
Educational special needs,0.055294954686913776,Enrolled
Debtor,0.26355936717881834,Enrolled
Tuition fees up to date,0.2701590265971172,Enrolled
Gender,-0.08842830064291642,Enrolled
Scholarship holder,-0.29288252210750226,Enrolled
International,0.1101447650156256,Enrolled
Marital Status_1,-0.16627628617560422,Graduate
Marital Status_2,0.1054496270112869,Graduate
Marital Status_3,0.17046618123965152,Graduate
Marital Status_4,0.2932053628518643,Graduate
Marital Status_5,0.2295688311983861,Graduate
Marital Status_6,-0.7211905699323805,Graduate
Application mode_1,0.04603707560253181,Graduate
Application mode_2,0.2854147679962281,Graduate
Application mode_5,-0.5544278115344741,Graduate
Application mode_7,-0.3313378415557153,Graduate
Application mode_10,0.3864663522318316,Graduate
Application mode_15,1.3136328735028562,Graduate
Application mode_16,0.11617531203031223,Graduate
Application mode_17,-0.05541472223315998,Graduate
Application mode_18,0.2157697917979091,Graduate
Application mode_26,-0.07918788860734823,Graduate
Application mode_27,-0.46215090046781604,Graduate
Application mode_39,-0.2773551350500445,Graduate
Application mode_42,-0.16808525363720953,Graduate
Application mode_43,-0.26007574485092155,Graduate
Application mode_44,-0.2690604088341376,Graduate
Application mode_51,-0.13320181979844,Graduate
Application mode_53,-0.23094643658153882,Graduate
Application mode_57,0.36897093618233356,Graduate
Course_33,-0.6598245184228287,Graduate
Course_171,1.4214939151659367,Graduate
Course_8014,0.33021608283420795,Graduate
Course_9003,0.6436496863884184,Graduate
Course_9070,-0.12653462835509996,Graduate
Course_9085,0.1484421495184139,Graduate
Course_9119,-1.0058670637323068,Graduate
Course_9130,-0.13374393320238193,Graduate
Course_9147,-0.07918167492507872,Graduate
Course_9238,0.7554327587994718,Graduate
Course_9254,-0.2031480773295081,Graduate
Course_9500,0.06459745684253948,Graduate
Course_9556,-0.12432851696622342,Graduate
